# Data copied from SSP version 9 database (downloaded in 2014),,,,,,,,,,,,,,,,,,,,,,,,,
# Zeroes for Taiwan (TWN) replaced with UN population estimates for XEA region in 2000 and 2005 time periods,,,,,,,,,,,,,,,,,,,,,,,,,
MODEL,SCENARIO,REGION,VARIABLE,UNIT,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
OECD Env-Growth,SSP1_v9_130325,BWA,Population,million,1.758,1.876,2.007,2.115,2.22,2.308,2.376,2.438,2.492,2.538,2.574,2.596,2.605,2.594,2.566,2.524,2.468,2.4,2.322,2.236,2.143
OECD Env-Growth,SSP1_v9_130325,CAF,Population,million,3.702,4.018,4.401,4.768,5.137,5.492,5.804,6.085,6.323,6.507,6.646,6.742,6.796,6.812,6.788,6.725,6.626,6.497,6.341,6.161,5.963
OECD Env-Growth,SSP1_v9_130325,CAN,Population,million,30.667,32.283,34.017,35.901,37.898,39.903,41.821,43.65,45.444,47.224,48.969,50.646,52.24,53.645,54.767,55.61,56.171,56.298,56,55.359,54.469
OECD Env-Growth,SSP1_v9_130325,CHE,Population,million,7.168,7.415,7.664,7.908,8.13,8.364,8.598,8.822,9.037,9.241,9.429,9.592,9.727,9.792,9.797,9.757,9.658,9.509,9.32,9.1,8.856
OECD Env-Growth,SSP1_v9_130325,CHL,Population,million,15.42,16.302,17.114,17.809,18.391,18.849,19.167,19.374,19.465,19.435,19.287,19.036,18.696,18.279,17.779,17.173,16.473,15.691,14.812,13.839,12.818
OECD Env-Growth,SSP1_v9_130325,CHN,Population,million,1269.117,1307.593,1341.335,1360.497,1371.171,1370.823,1359.513,1338.97,1308.94,1270.383,1224.524,1173.04,1117.295,1058.793,999.265,939.871,880.436,820.791,761.794,703.041,643.987
OECD Env-Growth,SSP1_v9_130325,CIV,Population,million,16.582,18.021,19.738,21.216,22.513,23.689,24.652,25.49,26.16,26.637,26.936,27.087,27.104,27.042,26.886,26.626,26.261,25.801,25.249,24.615,23.912
OECD Env-Growth,SSP1_v9_130325,CMR,Population,million,15.678,17.554,19.599,21.424,23.15,24.749,26.175,27.485,28.626,29.552,30.274,30.808,31.168,31.362,31.38,31.223,30.896,30.417,29.797,29.05,28.192
OECD Env-Growth,SSP1_v9_130325,COD,Population,million,49.626,57.421,65.966,74.762,83.883,93.089,101.704,109.917,117.504,124.26,130.041,134.982,139.094,142.401,144.87,146.49,147.288,147.313,146.595,145.174,143.116
OECD Env-Growth,SSP1_v9_130325,COG,Population,million,3.136,3.533,4.043,4.515,4.973,5.413,5.822,6.209,6.559,6.859,7.108,7.309,7.465,7.571,7.627,7.63,7.585,7.494,7.36,7.187,6.977
OECD Env-Growth,SSP1_v9_130325,COL,Population,million,39.764,43.041,46.295,49.087,51.481,53.502,55.123,56.43,57.37,57.922,58.09,57.932,57.473,56.752,55.786,54.593,53.185,51.553,49.582,47.341,44.903
OECD Env-Growth,SSP1_v9_130325,COM,Population,million,0.562,0.643,0.735,0.808,0.863,0.909,0.949,0.986,1.013,1.028,1.032,1.029,1.021,1.011,0.996,0.977,0.954,0.927,0.896,0.863,0.828
OECD Env-Growth,SSP1_v9_130325,CPV,Population,million,0.437,0.473,0.496,0.512,0.523,0.529,0.531,0.53,0.525,0.517,0.505,0.491,0.475,0.459,0.443,0.427,0.41,0.393,0.375,0.356,0.336
OECD Env-Growth,SSP1_v9_130325,CRI,Population,million,3.919,4.309,4.659,4.972,5.251,5.494,5.7,5.877,6.019,6.119,6.176,6.195,6.181,6.126,6.035,5.907,5.728,5.5,5.234,4.93,4.593
OECD Env-Growth,SSP1_v9_130325,CUB,Population,million,11.104,11.254,11.258,11.175,11.031,10.829,10.562,10.246,9.878,9.461,8.994,8.485,7.942,7.39,6.851,6.331,5.821,5.328,4.852,4.379,3.917
OECD Env-Growth,SSP1_v9_130325,CYP,Population,million,0.943,1.033,1.104,1.175,1.241,1.303,1.355,1.402,1.444,1.481,1.51,1.53,1.541,1.539,1.525,1.494,1.448,1.388,1.312,1.229,1.143
OECD Env-Growth,SSP1_v9_130325,CZE,Population,million,10.243,10.221,10.493,10.776,11.023,11.245,11.43,11.581,11.737,11.91,12.081,12.225,12.328,12.36,12.334,12.243,12.085,11.881,11.649,11.391,11.099
OECD Env-Growth,SSP1_v9_130325,DEU,Population,million,82.349,82.541,82.302,82.278,82.377,82.51,82.578,82.577,82.544,82.458,82.255,81.878,81.351,80.6,79.586,78.287,76.778,74.863,72.572,70.048,67.405
OECD Env-Growth,SSP1_v9_130325,DJI,Population,million,0.732,0.808,0.889,0.961,1.033,1.097,1.149,1.195,1.235,1.266,1.289,1.303,1.309,1.307,1.298,1.282,1.259,1.23,1.197,1.161,1.121
OECD Env-Growth,SSP1_v9_130325,DNK,Population,million,5.34,5.419,5.55,5.689,5.836,6.002,6.17,6.333,6.488,6.64,6.793,6.949,7.105,7.251,7.386,7.506,7.602,7.675,7.724,7.733,7.708
OECD Env-Growth,SSP1_v9_130325,DOM,Population,million,8.592,9.264,9.927,10.45,10.885,11.24,11.5,11.684,11.787,11.809,11.754,11.636,11.46,11.244,10.992,10.707,10.393,10.052,9.685,9.268,8.811
OECD Env-Growth,SSP1_v9_130325,DZA,Population,million,30.534,32.888,35.468,37.851,39.953,41.645,42.912,43.939,44.761,45.328,45.548,45.412,44.937,44.194,43.232,42.077,40.756,39.313,37.811,36.251,34.557
OECD Env-Growth,SSP1_v9_130325,ECU,Population,million,12.345,13.426,14.465,15.341,16.091,16.725,17.229,17.632,17.917,18.084,18.13,18.077,17.929,17.708,17.416,17.056,16.633,16.112,15.491,14.791,14.006
OECD Env-Growth,SSP1_v9_130325,EGY,Population,million,67.648,74.203,81.121,87.574,93.382,98.341,102.468,106.094,109.119,111.416,112.941,113.804,114.052,113.762,112.883,111.38,109.293,106.712,103.767,100.542,96.865
OECD Env-Growth,SSP1_v9_130325,ERI,Population,million,3.668,4.486,5.254,6.004,6.733,7.402,8.027,8.643,9.223,9.731,10.152,10.488,10.75,10.94,11.056,11.095,11.061,10.962,10.804,10.591,10.322
OECD Env-Growth,SSP1_v9_130325,ESP,Population,million,40.288,43.395,46.077,47.866,48.942,49.848,50.705,51.646,52.661,53.595,54.31,54.759,54.992,54.9,54.438,53.68,52.668,51.356,49.913,48.439,46.931
OECD Env-Growth,SSP1_v9_130325,EST,Population,million,1.371,1.346,1.341,1.336,1.33,1.322,1.312,1.305,1.303,1.303,1.303,1.301,1.296,1.29,1.283,1.276,1.267,1.253,1.234,1.213,1.192
OECD Env-Growth,SSP1_v9_130325,ETH,Population,million,65.578,74.264,82.95,91.763,100.815,109.488,117.123,123.948,129.938,135.127,139.507,143.03,145.64,147.41,148.346,148.44,147.701,146.143,143.806,140.794,137.215
OECD Env-Growth,SSP1_v9_130325,FIN,Population,million,5.173,5.244,5.365,5.502,5.646,5.79,5.924,6.046,6.161,6.275,6.393,6.515,6.64,6.758,6.856,6.935,6.997,7.037,7.044,7.023,6.984
OECD Env-Growth,SSP1_v9_130325,FJI,Population,million,0.812,0.823,0.861,0.884,0.897,0.899,0.894,0.883,0.866,0.844,0.818,0.79,0.759,0.728,0.699,0.67,0.641,0.613,0.586,0.559,0.532
OECD Env-Growth,SSP1_v9_130325,FRA,Population,million,60.913,63.011,64.935,67.056,69.233,71.414,73.551,75.658,77.71,79.628,81.374,82.958,84.426,85.538,86.382,87.015,87.398,87.364,86.974,86.304,85.411
OECD Env-Growth,SSP1_v9_130325,GAB,Population,million,1.235,1.371,1.505,1.622,1.737,1.839,1.926,2.001,2.063,2.112,2.149,2.172,2.184,2.184,2.17,2.144,2.106,2.058,1.999,1.932,1.86
OECD Env-Growth,SSP1_v9_130325,GBR,Population,million,58.874,60.203,62.036,64.264,66.424,68.57,70.617,72.584,74.531,76.468,78.339,80.073,81.652,83.025,84.23,85.143,85.799,86.121,85.975,85.469,84.705
OECD Env-Growth,SSP1_v9_130325,GEO,Population,million,4.746,4.477,4.352,4.247,4.107,3.949,3.784,3.623,3.459,3.287,3.108,2.928,2.753,2.59,2.436,2.29,2.149,2.014,1.88,1.749,1.627
OECD Env-Growth,SSP1_v9_130325,GHA,Population,million,19.165,21.64,24.392,26.933,29.309,31.524,33.555,35.495,37.252,38.726,39.901,40.804,41.472,41.948,42.215,42.255,42.07,41.673,41.086,40.321,39.392
OECD Env-Growth,SSP1_v9_130325,GIN,Population,million,8.344,9.041,9.982,10.758,11.461,12.082,12.583,12.997,13.299,13.485,13.564,13.557,13.479,13.387,13.275,13.139,12.974,12.778,12.553,12.298,12.015
OECD Env-Growth,SSP1_v9_130325,GMB,Population,million,1.297,1.504,1.728,1.934,2.122,2.293,2.443,2.581,2.7,2.795,2.865,2.914,2.943,2.961,2.966,2.958,2.937,2.904,2.861,2.807,2.743
OECD Env-Growth,SSP1_v9_130325,GNB,Population,million,1.241,1.368,1.515,1.644,1.765,1.876,1.972,2.059,2.134,2.194,2.237,2.265,2.281,2.286,2.282,2.267,2.241,2.206,2.162,2.111,2.053
OECD Env-Growth,SSP1_v9_130325,GNQ,Population,million,0.52,0.608,0.7,0.789,0.879,0.967,1.049,1.126,1.196,1.258,1.311,1.358,1.397,1.428,1.449,1.459,1.458,1.447,1.428,1.401,1.367
OECD Env-Growth,SSP1_v9_130325,GRC,Population,million,10.987,11.183,11.359,11.471,11.488,11.503,11.526,11.565,11.609,11.64,11.642,11.611,11.555,11.46,11.304,11.094,10.849,10.556,10.23,9.89,9.541
OECD Env-Growth,SSP1_v9_130325,GTM,Population,million,11.237,12.717,14.389,15.744,16.881,17.882,18.726,19.433,19.979,20.367,20.612,20.746,20.773,20.731,20.614,20.415,20.132,19.764,19.311,18.779,18.157
OECD Env-Growth,SSP1_v9_130325,GUY,Population,million,0.733,0.746,0.754,0.759,0.762,0.76,0.749,0.733,0.712,0.687,0.659,0.629,0.598,0.568,0.54,0.512,0.486,0.46,0.434,0.409,0.385
OECD Env-Growth,SSP1_v9_130325,HKG,Population,million,6.783,6.81,7.053,7.352,7.625,7.899,8.183,8.464,8.71,8.911,9.051,9.123,9.136,9.036,8.843,8.577,8.25,7.844,7.376,6.866,6.333
OECD Env-Growth,SSP1_v9_130325,HND,Population,million,6.218,6.879,7.601,8.193,8.697,9.121,9.457,9.725,9.92,10.042,10.094,10.09,10.032,9.937,9.805,9.636,9.431,9.191,8.919,8.603,8.24
OECD Env-Growth,SSP1_v9_130325,HRV,Population,million,4.506,4.442,4.403,4.37,4.33,4.281,4.225,4.167,4.105,4.033,3.949,3.856,3.756,3.643,3.519,3.385,3.231,3.058,2.874,2.684,2.482
OECD Env-Growth,SSP1_v9_130325,HTI,Population,million,8.645,9.347,9.993,10.506,10.945,11.301,11.561,11.76,11.89,11.95,11.94,11.86,11.714,11.53,11.304,11.032,10.716,10.361,9.976,9.571,9.155
OECD Env-Growth,SSP1_v9_130325,HUN,Population,million,10.211,10.087,9.984,9.871,9.784,9.708,9.631,9.545,9.458,9.368,9.272,9.168,9.053,8.91,8.738,8.548,8.349,8.141,7.907,7.659,7.408
OECD Env-Growth,SSP1_v9_130325,IDN,Population,million,213.395,227.303,239.871,250.506,259.299,265.939,270.466,273.396,274.521,273.772,271.071,266.646,260.655,253.356,245.009,235.81,225.992,215.72,205.16,194.444,183.659
OECD Env-Growth,SSP1_v9_130325,IND,Population,million,1053.898,1140.043,1224.614,1297.953,1361.281,1415.174,1458.929,1495.682,1523.66,1542.224,1550.397,1548.521,1536.252,1513.67,1481.442,1440.148,1390.771,1334.355,1272.411,1206.553,1138.436
OECD Env-Growth,SSP1_v9_130325,IRL,Population,million,3.804,4.158,4.47,4.773,5.052,5.313,5.561,5.807,6.056,6.3,6.527,6.73,6.909,7.062,7.192,7.285,7.343,7.373,7.363,7.32,7.25
OECD Env-Growth,SSP1_v9_130325,IRN,Population,million,65.342,69.732,73.974,78.025,81.35,83.713,85.295,86.512,87.404,87.807,87.554,86.655,85.178,83.215,80.794,77.895,74.549,70.575,66.266,61.829,57.292
OECD Env-Growth,SSP1_v9_130325,IRQ,Population,million,23.857,27.359,31.672,35.715,39.552,43.24,46.729,50.082,53.111,55.691,57.804,59.543,60.938,62.031,62.803,63.238,63.332,63.095,62.536,61.564,60.097
OECD Env-Growth,SSP1_v9_130325,ISL,Population,million,0.281,0.297,0.32,0.345,0.37,0.394,0.417,0.439,0.461,0.483,0.504,0.524,0.543,0.559,0.573,0.585,0.593,0.597,0.599,0.597,0.593
OECD Env-Growth,SSP1_v9_130325,ISR,Population,million,6.015,6.605,7.418,8.317,9.226,10.131,11.026,11.924,12.825,13.713,14.567,15.382,16.159,16.951,17.739,18.51,19.257,19.976,20.65,21.297,21.935
OECD Env-Growth,SSP1_v9_130325,ITA,Population,million,56.986,58.671,60.551,61.583,62.006,62.36,62.696,63.035,63.349,63.533,63.516,63.292,62.881,62.091,60.939,59.574,58.097,56.41,54.61,52.747,50.828
OECD Env-Growth,SSP1_v9_130325,JAM,Population,million,2.582,2.682,2.741,2.774,2.792,2.786,2.757,2.714,2.656,2.584,2.498,2.403,2.3,2.2,2.104,2.012,1.924,1.837,1.75,1.657,1.56
OECD Env-Growth,SSP1_v9_130325,JOR,Population,million,4.827,5.342,6.187,7.017,7.862,8.678,9.44,10.165,10.833,11.429,11.946,12.384,12.737,12.981,13.112,13.13,13.041,12.856,12.589,12.222,11.76
OECD Env-Growth,SSP1_v9_130325,JPN,Population,million,125.72,126.393,126.536,126.34,125.483,124.106,122.372,120.409,118.294,116.058,113.714,111.324,108.56,105.281,101.598,97.678,93.649,89.408,85.155,80.988,76.936
OECD Env-Growth,SSP1_v9_130325,KAZ,Population,million,14.957,15.172,16.026,16.778,17.398,17.853,18.167,18.429,18.642,18.754,18.735,18.613,18.412,18.14,17.799,17.379,16.883,16.326,15.731,15.115,14.463
OECD Env-Growth,SSP1_v9_130325,KEN,Population,million,31.254,35.615,40.513,45.206,49.716,53.995,57.974,61.758,65.165,68.04,70.348,72.176,73.562,74.593,75.24,75.491,75.374,74.92,74.148,73.059,71.663
OECD Env-Growth,SSP1_v9_130325,KGZ,Population,million,4.955,5.042,5.334,5.57,5.746,5.853,5.912,5.943,5.933,5.877,5.779,5.652,5.503,5.346,5.178,4.999,4.809,4.611,4.409,4.21,4.015
OECD Env-Growth,SSP1_v9_130325,KHM,Population,million,12.447,13.358,14.138,14.769,15.329,15.718,15.931,16.035,16.032,15.935,15.739,15.456,15.095,14.689,14.237,13.738,13.196,12.63,12.059,11.497,10.95
OECD Env-Growth,SSP1_v9_130325,KOR,Population,million,45.988,47.044,48.184,48.969,49.59,50.042,50.283,50.248,49.904,49.264,48.351,47.215,45.917,44.504,42.917,41.147,39.309,37.484,35.664,33.785,31.937
OECD Env-Growth,SSP1_v9_130325,KWT,Population,million,1.941,2.264,2.737,3.165,3.541,3.899,4.243,4.578,4.886,5.15,5.359,5.517,5.627,5.679,5.674,5.614,5.506,5.363,5.189,4.98,4.729
OECD Env-Growth,SSP1_v9_130325,LAO,Population,million,5.317,5.753,6.201,6.585,6.931,7.217,7.422,7.564,7.647,7.675,7.653,7.585,7.469,7.317,7.13,6.912,6.667,6.4,6.122,5.841,5.565
OECD Env-Growth,SSP1_v9_130325,LBN,Population,million,3.742,4.052,4.228,4.374,4.5,4.601,4.67,4.714,4.731,4.718,4.677,4.61,4.521,4.407,4.273,4.121,3.955,3.779,3.596,3.407,3.202
OECD Env-Growth,SSP1_v9_130325,LBR,Population,million,2.847,3.183,3.994,4.792,5.579,6.36,7.104,7.828,8.511,9.134,9.687,10.167,10.572,10.887,11.109,11.235,11.269,11.217,11.086,10.881,10.609
OECD Env-Growth,SSP1_v9_130325,LBY,Population,million,5.231,5.77,6.355,6.892,7.35,7.704,7.982,8.242,8.487,8.69,8.825,8.883,8.87,8.803,8.695,8.55,8.371,8.146,7.877,7.577,7.234
OECD Env-Growth,SSP1_v9_130325,LCA,Population,million,0.157,0.165,0.174,0.182,0.188,0.192,0.195,0.197,0.198,0.198,0.197,0.194,0.191,0.186,0.181,0.175,0.168,0.161,0.153,0.145,0.135
OECD Env-Growth,SSP1_v9_130325,LKA,Population,million,18.745,19.843,20.86,21.597,22.087,22.354,22.467,22.498,22.413,22.173,21.782,21.284,20.71,20.101,19.46,18.786,18.087,17.377,16.6,15.767,14.886
OECD Env-Growth,SSP1_v9_130325,LSO,Population,million,1.964,2.066,2.171,2.254,2.342,2.415,2.467,2.504,2.528,2.541,2.542,2.53,2.505,2.467,2.419,2.361,2.294,2.22,2.139,2.054,1.965
OECD Env-Growth,SSP1_v9_130325,LTU,Population,million,3.5,3.416,3.324,3.252,3.179,3.103,3.016,2.923,2.829,2.734,2.634,2.528,2.416,2.304,2.193,2.086,1.981,1.872,1.76,1.65,1.548
OECD Env-Growth,SSP1_v9_130325,LUX,Population,million,0.435,0.457,0.507,0.554,0.595,0.638,0.681,0.724,0.767,0.808,0.848,0.884,0.917,0.945,0.967,0.982,0.989,0.988,0.979,0.964,0.943
OECD Env-Growth,SSP1_v9_130325,LVA,Population,million,2.385,2.306,2.252,2.183,2.122,2.065,2.008,1.953,1.903,1.853,1.798,1.74,1.679,1.613,1.545,1.474,1.4,1.323,1.241,1.159,1.081
OECD Env-Growth,SSP1_v9_130325,MAC,Population,million,0.432,0.481,0.544,0.587,0.612,0.64,0.669,0.697,0.721,0.74,0.754,0.761,0.762,0.757,0.743,0.722,0.695,0.662,0.623,0.581,0.536
OECD Env-Growth,SSP1_v9_130325,MAR,Population,million,28.793,30.392,31.951,33.181,34.094,34.687,34.947,34.991,34.834,34.474,33.899,33.14,32.217,31.215,30.152,29.037,27.874,26.68,25.478,24.29,23.042
OECD Env-Growth,SSP1_v9_130325,MDA,Population,million,4.107,3.767,3.573,3.371,3.187,3.002,2.821,2.643,2.469,2.295,2.123,1.957,1.798,1.653,1.516,1.387,1.264,1.15,1.045,0.953,0.873
OECD Env-Growth,SSP1_v9_130325,MDG,Population,million,15.364,17.886,20.714,23.337,25.921,28.387,30.643,32.729,34.563,36.098,37.333,38.329,39.093,39.626,39.92,39.97,39.776,39.338,38.66,37.762,36.669
OECD Env-Growth,SSP1_v9_130325,MDV,Population,million,0.273,0.295,0.316,0.337,0.358,0.375,0.389,0.4,0.409,0.417,0.422,0.425,0.425,0.421,0.415,0.404,0.388,0.368,0.343,0.317,0.291
OECD Env-Growth,SSP1_v9_130325,MEX,Population,million,99.96,106.484,113.423,119.292,124.23,128.156,131.005,133.024,134.126,134.28,133.522,132.026,129.884,127.397,124.605,121.548,118.263,114.407,110.054,105.231,99.745
OECD Env-Growth,SSP1_v9_130325,MKD,Population,million,2.009,2.038,2.061,2.09,2.118,2.144,2.167,2.189,2.208,2.222,2.227,2.222,2.206,2.171,2.119,2.053,1.975,1.887,1.787,1.677,1.562
OECD Env-Growth,SSP1_v9_130325,MLI,Population,million,11.295,13.177,15.37,17.491,19.618,21.741,23.741,25.691,27.473,29.036,30.353,31.451,32.344,33.068,33.619,33.989,34.178,34.197,34.052,33.746,33.287
OECD Env-Growth,SSP1_v9_130325,MLT,Population,million,0.397,0.409,0.417,0.425,0.432,0.437,0.44,0.44,0.438,0.434,0.429,0.422,0.415,0.406,0.395,0.381,0.364,0.345,0.323,0.301,0.278
OECD Env-Growth,SSP1_v9_130325,MMR,Population,million,44.958,46.321,47.963,48.944,49.47,49.621,49.283,48.608,47.612,46.29,44.733,42.997,41.14,39.24,37.332,35.416,33.5,31.61,29.773,28.018,26.365
OECD Env-Growth,SSP1_v9_130325,MNE,Population,million,0.633,0.627,0.631,0.64,0.648,0.655,0.659,0.663,0.665,0.665,0.663,0.658,0.65,0.638,0.622,0.602,0.579,0.55,0.518,0.485,0.448
OECD Env-Growth,SSP1_v9_130325,MNG,Population,million,2.411,2.547,2.756,2.942,3.095,3.207,3.281,3.34,3.388,3.417,3.418,3.392,3.344,3.283,3.211,3.129,3.036,2.934,2.828,2.721,2.612
OECD Env-Growth,SSP1_v9_130325,MOZ,Population,million,18.201,20.77,23.391,25.63,27.857,30.022,31.969,33.765,35.306,36.575,37.606,38.44,39.081,39.528,39.76,39.767,39.557,39.128,38.486,37.642,36.623
OECD Env-Growth,SSP1_v9_130325,MRT,Population,million,2.643,3.047,3.46,3.834,4.176,4.477,4.741,4.978,5.177,5.328,5.43,5.497,5.538,5.557,5.551,5.516,5.454,5.367,5.26,5.135,4.995
OECD Env-Growth,SSP1_v9_130325,MUS,Population,million,1.196,1.257,1.299,1.33,1.357,1.38,1.394,1.402,1.404,1.397,1.383,1.363,1.338,1.306,1.27,1.23,1.187,1.14,1.088,1.031,0.971
OECD Env-Growth,SSP1_v9_130325,MWI,Population,million,11.229,12.823,14.901,17.087,19.45,21.877,24.288,26.763,29.193,31.486,33.583,35.487,37.182,38.678,39.948,40.977,41.77,42.334,42.675,42.794,42.692
OECD Env-Growth,SSP1_v9_130325,MYS,Population,million,23.415,26.1,28.401,30.554,32.547,34.341,35.9,37.273,38.399,39.248,39.823,40.172,40.319,40.276,40.043,39.611,38.976,38.154,37.069,35.719,34.169
OECD Env-Growth,SSP1_v9_130325,NAM,Population,million,1.896,2.08,2.283,2.454,2.615,2.758,2.879,2.984,3.069,3.133,3.177,3.203,3.213,3.206,3.181,3.138,3.076,2.998,2.906,2.803,2.692
OECD Env-Growth,SSP1_v9_130325,NCL,Population,million,0.212,0.231,0.251,0.27,0.288,0.304,0.318,0.331,0.342,0.352,0.36,0.366,0.37,0.371,0.37,0.367,0.361,0.353,0.343,0.331,0.316
OECD Env-Growth,SSP1_v9_130325,NER,Population,million,10.922,12.994,15.512,18.113,20.881,23.785,26.746,29.862,32.975,35.97,38.749,41.321,43.645,45.722,47.52,49.011,50.185,51.044,51.604,51.879,51.878
OECD Env-Growth,SSP1_v9_130325,NGA,Population,million,123.689,139.823,158.423,177.415,197.847,219.21,240.767,263.248,285.959,307.982,328.589,347.62,364.877,380.369,393.875,405.237,414.405,421.454,426.454,429.477,430.54
OECD Env-Growth,SSP1_v9_130325,NIC,Population,million,5.074,5.424,5.788,6.052,6.235,6.349,6.4,6.403,6.36,6.273,6.147,5.993,5.816,5.638,5.46,5.279,5.093,4.903,4.709,4.504,4.286
OECD Env-Growth,SSP1_v9_130325,NLD,Population,million,15.863,16.305,16.613,16.961,17.328,17.708,18.075,18.404,18.691,18.937,19.154,19.355,19.546,19.718,19.856,19.927,19.945,19.869,19.697,19.445,19.131
OECD Env-Growth,SSP1_v9_130325,NOR,Population,million,4.491,4.623,4.883,5.16,5.448,5.755,6.065,6.368,6.665,6.957,7.248,7.536,7.818,8.076,8.296,8.476,8.623,8.717,8.76,8.756,8.713
OECD Env-Growth,SSP1_v9_130325,NPL,Population,million,24.401,27.282,29.959,32.494,34.907,37.114,39.016,40.683,42.093,43.225,44.054,44.585,44.806,44.735,44.381,43.75,42.849,41.694,40.312,38.745,36.968
OECD Env-Growth,SSP1_v9_130325,NZL,Population,million,3.858,4.134,4.368,4.614,4.858,5.092,5.308,5.51,5.7,5.879,6.044,6.192,6.325,6.441,6.538,6.609,6.655,6.66,6.624,6.556,6.464
OECD Env-Growth,SSP1_v9_130325,OMN,Population,million,2.264,2.43,2.782,3.038,3.268,3.486,3.673,3.839,3.982,4.093,4.17,4.214,4.229,4.216,4.176,4.111,4.024,3.922,3.798,3.659,3.507
OECD Env-Growth,SSP1_v9_130325,PAK,Population,million,144.522,158.645,173.593,188.197,202.269,214.784,225.226,234.342,242.043,248.078,252.222,254.627,255.356,254.687,252.655,249.253,244.545,238.698,231.953,224.54,216.638
OECD Env-Growth,SSP1_v9_130325,PAN,Population,million,2.956,3.238,3.517,3.753,3.965,4.151,4.308,4.439,4.54,4.608,4.645,4.654,4.636,4.592,4.525,4.436,4.327,4.188,4.022,3.834,3.622
OECD Env-Growth,SSP1_v9_130325,PER,Population,million,25.862,27.559,29.077,30.185,30.975,31.489,31.74,31.804,31.669,31.326,30.789,30.096,29.268,28.391,27.476,26.524,25.544,24.538,23.516,22.411,21.246
OECD Env-Growth,SSP1_v9_130325,PHL,Population,million,77.31,85.546,93.261,100.611,107.699,114.053,119.468,124.146,127.941,130.792,132.728,133.923,134.419,134.256,133.428,131.917,129.745,126.96,123.629,119.85,115.697
OECD Env-Growth,SSP1_v9_130325,PNG,Population,million,5.379,6.095,6.858,7.502,8.094,8.619,9.073,9.472,9.795,10.033,10.186,10.272,10.292,10.25,10.148,9.988,9.772,9.505,9.191,8.837,8.456
OECD Env-Growth,SSP1_v9_130325,POL,Population,million,38.302,38.165,38.277,38.448,38.546,38.521,38.314,37.928,37.468,36.991,36.496,35.954,35.348,34.648,33.86,33.006,32.043,30.958,29.829,28.738,27.703
OECD Env-Growth,SSP1_v9_130325,PRI,Population,million,3.814,3.782,3.749,3.695,3.62,3.525,3.411,3.286,3.149,3.002,2.847,2.688,2.528,2.375,2.221,2.065,1.913,1.767,1.625,1.484,1.347
