# Data copied from SSP version 9 database (downloaded in 2014),,,,,,,,,,,,,,,,,,,,,,,,,
MODEL,SCENARIO,REGION,VARIABLE,UNIT,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
OECD Env-Growth,SSP1_v9_130325,CRI,GDP|PPP,billion US$2005/yr,31.891,38.964,48.697,60.302,74.678,91.936,112.362,136.335,162.364,188.846,214.092,237.897,260.789,281.909,300.49,316.453,329.965,340.555,348.129,352.46,353.001
OECD Env-Growth,SSP1_v9_130325,CUB,GDP|PPP,billion US$2005/yr,39.078,49.927,64.7,77.441,87.467,100.806,117.094,136.511,157.73,180.641,202.077,220.308,235.693,248.109,257.483,265.131,270.659,273.961,275.144,274.086,270.678
OECD Env-Growth,SSP1_v9_130325,CYP,GDP|PPP,billion US$2005/yr,15.776,18.496,20.867,20.848,22.876,25.378,28.751,32.888,37.453,42.124,46.612,51.127,55.785,60.479,64.894,68.588,71.531,73.681,75.116,75.994,76.251
OECD Env-Growth,SSP1_v9_130325,CZE,GDP|PPP,billion US$2005/yr,178.131,217.66,248.639,286.048,339.277,400.893,473.026,550.978,627.052,694.867,761.578,826.048,892.753,965.874,1038.489,1103.308,1161.343,1214.019,1263.551,1311.93,1358.684
OECD Env-Growth,SSP1_v9_130325,DEU,GDP|PPP,billion US$2005/yr,2491.626,2562.196,2727.329,2990.49,3195.69,3394.903,3608.195,3869.574,4183.73,4492.942,4775.802,5044.27,5331.66,5617.207,5899.775,6167.396,6418.698,6639.446,6833.404,7008.221,7167.723
OECD Env-Growth,SSP1_v9_130325,DJI,GDP|PPP,billion US$2005/yr,1.285,1.488,1.884,2.364,3.164,4.376,6.163,8.603,11.689,15.379,19.589,24.177,29.058,34.132,39.192,44.069,48.76,53.14,57.238,61.047,64.441
OECD Env-Growth,SSP1_v9_130325,DNK,GDP|PPP,billion US$2005/yr,169.001,179.876,180.168,194.443,212.78,231.011,251.253,274.602,300.892,330.199,361.611,393.679,427.113,462.636,500.199,539.71,581.388,624.07,667.141,710.037,753.056
OECD Env-Growth,SSP1_v9_130325,DOM,GDP|PPP,billion US$2005/yr,49.705,59.109,83.26,103.26,127.115,154.133,186.608,224.124,264.918,306.763,347.633,387.056,424.089,458.457,488.659,515.029,538.995,559.658,576.862,589.961,598.552
OECD Env-Growth,SSP1_v9_130325,DZA,GDP|PPP,billion US$2005/yr,185.689,235.763,268.295,310.773,376.244,462.689,559.447,657.912,757.912,873.644,1006.329,1152.002,1310.09,1478.76,1640.135,1786.909,1919.868,2039.507,2150.406,2252.568,2337.104
OECD Env-Growth,SSP1_v9_130325,ECU,GDP|PPP,billion US$2005/yr,66.431,87.411,104.16,126.267,149.147,180.831,223.232,276.993,341.124,413.649,491.853,575.035,660.988,746.731,829.85,908.07,982.456,1050.119,1109.012,1158.488,1195.933
OECD Env-Growth,SSP1_v9_130325,EGY,GDP|PPP,billion US$2005/yr,280.154,333.218,449.698,529.107,708.512,949.807,1279.657,1706.976,2211.749,2761.102,3326.028,3908.129,4502.855,5087.408,5630.077,6119.94,6562.203,6960.058,7318.164,7631.883,7881.533
OECD Env-Growth,SSP1_v9_130325,ERI,GDP|PPP,billion US$2005/yr,2.114,2.674,2.573,3.187,3.579,4.636,6.429,9.376,13.979,20.892,30.955,44.987,63.763,87.63,116.237,148.845,185.263,224.921,267.196,310.829,353.961
OECD Env-Growth,SSP1_v9_130325,ESP,GDP|PPP,billion US$2005/yr,1012.375,1188.61,1242.302,1312.088,1396.963,1488.19,1613.352,1763.993,1921.023,2075.757,2237.528,2420.741,2626.935,2843.707,3046.139,3227.378,3403.491,3573.005,3745.194,3916.413,4072.947
OECD Env-Growth,SSP1_v9_130325,EST,GDP|PPP,billion US$2005/yr,15.757,22.262,22.253,27.749,32.863,38.142,43.968,50.195,56.264,61.924,66.857,71.169,76.194,81.789,87.367,92.454,97.324,101.996,106.705,111.688,116.771
OECD Env-Growth,SSP1_v9_130325,ETH,GDP|PPP,billion US$2005/yr,34.58,47.237,77.328,106.964,148.134,209.408,306.751,457.548,680.036,991.958,1406.961,1932.361,2566.97,3305.192,4137.162,5045.681,6003.999,6984.455,7965.905,8937.663,9878.23
OECD Env-Growth,SSP1_v9_130325,FIN,GDP|PPP,billion US$2005/yr,141.389,160.993,170.072,190.604,209.75,229.651,252.726,279.186,307.357,334.796,361.822,389.311,418.032,449.562,482.61,516.227,550.343,584.403,618.373,652.914,688.322
OECD Env-Growth,SSP1_v9_130325,FJI,GDP|PPP,billion US$2005/yr,3.154,3.556,3.575,3.902,4.336,5.071,6.195,7.707,9.545,11.659,14.015,16.56,19.208,21.954,24.677,27.271,29.818,32.311,34.748,37.1,39.304
OECD Env-Growth,SSP1_v9_130325,FRA,GDP|PPP,billion US$2005/yr,1719.732,1858.628,1921.794,2048.82,2242.855,2469.657,2751.082,3086.826,3453.956,3836.52,4215.719,4601.073,5008.835,5427.1,5843.52,6254.772,6664.435,7067.785,7468.069,7866.144,8257.434
OECD Env-Growth,SSP1_v9_130325,GAB,GDP|PPP,billion US$2005/yr,16.369,17.839,20.49,23.96,27.81,33.598,40.888,49.624,59.67,70.777,82.442,94.307,106.019,117.396,128.076,137.714,146.561,154.268,160.81,166.244,170.467
OECD Env-Growth,SSP1_v9_130325,GBR,GDP|PPP,billion US$2005/yr,1711.123,1971.522,2014.292,2189.418,2484.097,2787.299,3117.233,3481.37,3873.846,4285.175,4682.301,5073.841,5492.781,5944.826,6418.492,6883.047,7339.671,7792.721,8242.714,8698.056,9159.142
OECD Env-Growth,SSP1_v9_130325,GEO,GDP|PPP,billion US$2005/yr,11.056,15.747,20.242,27.221,34.753,43.656,54.346,66.807,79.543,91.321,101.374,109.499,116.356,123.005,128.497,132.154,133.964,135.159,135.899,136.232,135.97
OECD Env-Growth,SSP1_v9_130325,GHA,GDP|PPP,billion US$2005/yr,20.446,26.141,36.062,55.153,77.543,110.358,158.72,228.643,321.624,438.635,579.069,744.039,933.211,1142.765,1364.375,1588.798,1816.174,2043.044,2263.852,2473.597,2664.392
OECD Env-Growth,SSP1_v9_130325,GIN,GDP|PPP,billion US$2005/yr,5.533,8.778,9.766,13.347,26.01,46.8,79.502,126.084,186.21,258.779,341.872,433.323,529.737,629.265,728.733,825.575,920.794,1013.674,1102.953,1187.882,1266.6
OECD Env-Growth,SSP1_v9_130325,GMB,GDP|PPP,billion US$2005/yr,2.048,2.404,3.169,4.073,5.269,7.194,10.163,14.433,20.194,27.615,36.807,47.819,60.511,74.646,89.835,105.617,121.922,138.534,155.108,171.334,186.717
OECD Env-Growth,SSP1_v9_130325,GNB,GDP|PPP,billion US$2005/yr,1.421,1.391,1.612,1.991,2.481,3.433,5.105,7.825,11.835,17.435,24.827,34.151,45.391,58.4,72.836,88.266,104.509,121.232,138.065,154.671,170.556
OECD Env-Growth,SSP1_v9_130325,GNQ,GDP|PPP,billion US$2005/yr,4.518,15.08,21.538,25.047,27.725,33.819,40.671,48.439,57.001,66.215,75.737,85.269,94.775,103.906,112.331,119.627,126.042,131.472,135.909,139.414,141.89
OECD Env-Growth,SSP1_v9_130325,GRC,GDP|PPP,billion US$2005/yr,221.79,270.343,273.897,257.171,291.041,326.023,371.051,421.763,472.882,521.722,568.636,616.181,665.309,714.153,759.733,799.739,836.03,868.743,898.836,926.525,950.939
OECD Env-Growth,SSP1_v9_130325,GTM,GDP|PPP,billion US$2005/yr,44.497,51.652,61.823,70.38,84.241,109.473,145.955,195.437,257.775,333.263,421.044,519.802,626.124,737.7,850.799,962.727,1075.973,1188.189,1296.078,1397.948,1490.786
OECD Env-Growth,SSP1_v9_130325,GUY,GDP|PPP,billion US$2005/yr,1.827,1.893,2.342,3.012,3.685,4.584,5.653,6.963,8.478,10.246,12.217,14.263,16.111,17.701,19.238,20.903,22.503,23.948,25.192,26.29,27.303
OECD Env-Growth,SSP1_v9_130325,HKG,GDP|PPP,billion US$2005/yr,198.517,243.081,294.826,351.593,420.817,481.366,540.342,600.659,656.412,703.613,740.42,769.141,792.529,809.027,817.317,815.011,805.059,788.171,765.884,739.412,708.923
OECD Env-Growth,SSP1_v9_130325,HND,GDP|PPP,billion US$2005/yr,17.957,22.542,26.744,31.172,37.385,47.531,62.881,84.158,111.469,144.95,183.986,227.894,275.427,325.793,377.605,429.512,481.919,533.566,583.407,630.264,672.458
OECD Env-Growth,SSP1_v9_130325,HRV,GDP|PPP,billion US$2005/yr,54.752,68.104,71.255,73.758,81.775,89.86,99.485,110.291,120.707,129.561,136.685,142.914,148.485,153.079,156.492,158.224,158.617,157.963,156.529,154.37,151.091
OECD Env-Growth,SSP1_v9_130325,HTI,GDP|PPP,billion US$2005/yr,9.83,9.564,9.918,12.949,16.94,23.729,34.72,51.334,74.401,104.345,141.007,184.213,233.017,286.336,342.48,399.442,456.969,513.367,567.28,617.87,663.647
OECD Env-Growth,SSP1_v9_130325,HUN,GDP|PPP,billion US$2005/yr,139.591,171.187,169.548,177.954,193.977,216.887,245.242,276.269,305.884,334.326,362.479,390.093,418.867,448.976,477.688,505.233,532.985,559.697,584.937,609.062,632.169
OECD Env-Growth,SSP1_v9_130325,IDN,GDP|PPP,billion US$2005/yr,559.269,704.561,929.865,1262.296,1752.642,2465.619,3417.516,4637.535,6051.913,7554.434,9086.702,10617.586,12099.521,13477.622,14682.928,15710.191,16581.369,17294.608,17857.888,18279.186,18550.508
OECD Env-Growth,SSP1_v9_130325,IND,GDP|PPP,billion US$2005/yr,1768.738,2431.676,3653.102,4978.692,6913.935,9624.811,13287.553,18045.823,23739.574,30127.742,36896.745,43907.009,50962.114,57813.277,64146.855,69758.315,74745.955,79032.722,82536.716,85245.884,87096.476
OECD Env-Growth,SSP1_v9_130325,IRL,GDP|PPP,billion US$2005/yr,127.109,161.779,160.981,179.159,202.161,226.063,253.288,281.902,310.235,337.369,364.787,394.635,427.575,462.528,497.912,531.259,564.309,597.628,631.53,666.046,700.225
OECD Env-Growth,SSP1_v9_130325,IRN,GDP|PPP,billion US$2005/yr,490.245,643.503,810.315,853.623,974.08,1136.008,1342.3,1589.088,1855.481,2116.231,2352.015,2571.383,2798.728,3035.933,3253.709,3431.532,3575.594,3693.26,3794.091,3876.088,3922.766
OECD Env-Growth,SSP1_v9_130325,IRQ,GDP|PPP,billion US$2005/yr,112.203,82.51,102.337,167.947,251.894,313.331,401.28,508.565,606.776,721.584,849.484,995.057,1163.694,1357.544,1572.154,1805.328,2061.586,2334.979,2618.116,2901.47,3172.541
OECD Env-Growth,SSP1_v9_130325,ISL,GDP|PPP,billion US$2005/yr,8.399,10.352,10.424,12.028,14.071,16.447,19.222,22.293,25.575,28.966,32.334,35.787,39.385,43.25,47.293,51.326,55.294,59.157,62.964,66.786,70.627
OECD Env-Growth,SSP1_v9_130325,ISR,GDP|PPP,billion US$2005/yr,146.008,161.726,198.145,245.926,302.377,367.361,443.462,531.696,630.651,736.55,845.769,959.15,1079.641,1210.701,1351.138,1499.2,1655.753,1822.886,2001.747,2193.466,2397.985
OECD Env-Growth,SSP1_v9_130325,ITA,GDP|PPP,billion US$2005/yr,1578.216,1657.345,1641.252,1690.428,1800.863,1930.936,2093.958,2285.839,2491.287,2705.84,2925.123,3151.854,3387.717,3620.548,3833.272,4026.632,4214.967,4390.276,4555.164,4707.783,4843.568
OECD Env-Growth,SSP1_v9_130325,JAM,GDP|PPP,billion US$2005/yr,17.391,19.147,18.919,19.906,21.455,23.896,27.324,31.753,37.048,43.045,49.374,55.803,61.798,67.388,72.939,78.138,83.078,87.608,91.734,95.361,98.361
OECD Env-Growth,SSP1_v9_130325,JOR,GDP|PPP,billion US$2005/yr,17.226,23.456,31.744,38.951,51.157,70.734,99.54,138.569,187.497,244.771,307.913,375.983,448.477,522.705,594.847,663.578,730.445,791.565,846.799,894.823,933.653
OECD Env-Growth,SSP1_v9_130325,JPN,GDP|PPP,billion US$2005/yr,3630.235,3872.981,3899.299,4130.561,4351.946,4656.49,5022.834,5403.336,5754.023,6107.17,6436.957,6765.862,7085.558,7372.856,7623.65,7829.225,7994.335,8130.774,8245.616,8339.458,8410.109
OECD Env-Growth,SSP1_v9_130325,KAZ,GDP|PPP,billion US$2005/yr,80.457,131.765,178.18,239.059,317.168,429.298,539.508,648.627,743.998,814.502,853.897,877.05,902.373,932.208,954.52,962.281,966.715,968.439,970.256,970.91,965.32
OECD Env-Growth,SSP1_v9_130325,KEN,GDP|PPP,billion US$2005/yr,40.107,47.951,60.007,76.752,102,140.513,199.306,285.098,403.228,558.681,755.228,996.337,1283.652,1613.237,1974.493,2356.091,2756.137,3167.448,3580.447,3985.359,4368.909
OECD Env-Growth,SSP1_v9_130325,KGZ,GDP|PPP,billion US$2005/yr,7.38,8.887,10.941,14.103,17.742,23.392,31.571,42.607,55.679,70.033,84.702,99.316,114.004,128.802,142.816,154.843,165.757,175.693,184.924,193.278,200.332
OECD Env-Growth,SSP1_v9_130325,KHM,GDP|PPP,billion US$2005/yr,12.889,20.143,27.826,38.277,54.263,74.976,102.551,138.222,181.993,234.146,291.704,354.218,418.362,485.054,552.742,618.426,680.881,738.848,793.015,844.215,891.361
OECD Env-Growth,SSP1_v9_130325,KOR,GDP|PPP,billion US$2005/yr,880.446,1096.699,1320.884,1597.625,1932.057,2290.133,2641.291,2969.303,3254.482,3497.91,3695.944,3867.884,3991.266,4089.675,4182.326,4243.911,4291.452,4320.292,4329.185,4315.338,4289.067
OECD Env-Growth,SSP1_v9_130325,KWT,GDP|PPP,billion US$2005/yr,74.446,110.445,124.857,160.963,195.595,237.31,289.809,348.293,408.226,459.686,503.089,539.322,571.39,597.424,615.234,625.98,635.148,641.785,646.203,647.003,642.209
OECD Env-Growth,SSP1_v9_130325,LAO,GDP|PPP,billion US$2005/yr,7.207,9.754,14.34,20.914,30.172,42.545,59.072,80.352,105.991,135.284,166.953,199.335,231.079,262.183,292.238,320.439,346.288,368.97,388.834,406.611,422.257
OECD Env-Growth,SSP1_v9_130325,LBN,GDP|PPP,billion US$2005/yr,32.288,38.884,53.347,61.97,75.379,91.86,110.966,132.487,155.029,176.633,196.021,213.735,229.354,242.646,253.865,262.372,268.728,272.785,274.899,275.401,273.875
OECD Env-Growth,SSP1_v9_130325,LBR,GDP|PPP,billion US$2005/yr,0.979,1.1,1.926,2.932,4.65,7.933,13.378,22.285,35.88,55.689,83.026,118.893,163.989,217.839,278.944,345.279,415.869,488.377,560.994,632.109,699.269
OECD Env-Growth,SSP1_v9_130325,LBY,GDP|PPP,billion US$2005/yr,66.032,80.865,99.765,127.813,159.087,194.456,234.748,278.611,321.099,359.376,393.463,427.089,462.495,499.295,533.872,564.516,591.974,616.793,640.481,662.66,679.993
OECD Env-Growth,SSP1_v9_130325,LCA,GDP|PPP,billion US$2005/yr,1.336,1.469,1.439,1.524,1.719,2.017,2.448,3.008,3.67,4.416,5.21,6.037,6.88,7.724,8.537,9.266,9.936,10.537,11.054,11.48,11.797
OECD Env-Growth,SSP1_v9_130325,LKA,GDP|PPP,billion US$2005/yr,57.409,69.74,95.022,132.205,179.881,237.732,310.885,398.264,493.71,591.246,688.87,784.47,878.3,966.635,1040.624,1098.825,1149.26,1194.012,1232.188,1260.876,1276.543
OECD Env-Growth,SSP1_v9_130325,LSO,GDP|PPP,billion US$2005/yr,2.161,2.493,3.119,3.947,4.886,6.383,8.737,12.224,17.131,23.69,32.014,42.102,53.842,66.997,81.202,95.967,110.992,125.68,139.784,153.125,165.319
OECD Env-Growth,SSP1_v9_130325,LTU,GDP|PPP,billion US$2005/yr,33.309,48.474,51.059,61.366,71.844,80.522,89.031,98.089,106.401,112.709,115.974,117.121,118.069,119.811,121.588,122.093,121.42,120.055,118.403,116.998,115.797
OECD Env-Growth,SSP1_v9_130325,LUX,GDP|PPP,billion US$2005/yr,26.64,31.776,34.848,38.656,44.203,49.655,54.876,60.019,65.175,70.055,74.688,79.316,83.905,88.189,91.965,95.152,97.784,100.151,102.792,105.236,107.34
OECD Env-Growth,SSP1_v9_130325,LVA,GDP|PPP,billion US$2005/yr,20.24,30,28.991,35.415,41.654,48.376,56.255,64.219,71.465,77.709,82.403,85.896,89.569,93.129,95.613,96.851,97.782,97.971,97.605,96.963,95.892
OECD Env-Growth,SSP1_v9_130325,MAC,GDP|PPP,billion US$2005/yr,10.316,17.925,31.329,36.197,40.065,43.443,46.986,50.456,53.497,55.995,57.789,58.955,59.801,60.124,59.662,58.336,56.492,54.164,51.576,49.032,46.44
OECD Env-Growth,SSP1_v9_130325,MAR,GDP|PPP,billion US$2005/yr,84.841,108.171,137.293,170.461,224.444,301.042,403.647,534.432,685.827,847.529,1009.167,1166.7,1317.549,1462.523,1595.682,1711.702,1813.534,1902.368,1980.668,2050.661,2106.512
OECD Env-Growth,SSP1_v9_130325,MDA,GDP|PPP,billion US$2005/yr,6.032,8.492,9.951,12.383,15.745,20.625,27.087,34.922,42.874,49.891,55.235,58.888,61.771,64.525,66.404,66.848,66.754,66.214,65.533,64.834,63.972
OECD Env-Growth,SSP1_v9_130325,MDG,GDP|PPP,billion US$2005/yr,13.884,15.537,17.999,20.059,25.494,35.828,53.376,81.495,123.418,183.158,264.705,370.708,502.29,658.455,837.063,1033.234,1245.306,1467.246,1692.961,1917.332,2133.653
OECD Env-Growth,SSP1_v9_130325,MDV,GDP|PPP,billion US$2005/yr,1.193,1.562,2.333,2.791,3.348,4.093,5.095,6.378,7.891,9.542,11.215,12.851,14.492,16.181,17.835,19.339,20.564,21.478,22.123,22.558,22.795
OECD Env-Growth,SSP1_v9_130325,MEX,GDP|PPP,billion US$2005/yr,1202.506,1297.336,1409.686,1665.237,1946.473,2290.207,2721.745,3236.934,3793.24,4382.18,4993.562,5607.086,6205.251,6789.157,7332.756,7835.509,8306.602,8729.292,9098.227,9407.473,9631.717
OECD Env-Growth,SSP1_v9_130325,MKD,GDP|PPP,billion US$2005/yr,14.844,16.045,18.931,21.849,26.772,33.14,40.901,49.921,59.198,67.916,75.675,82.746,89.229,94.803,99.066,101.81,103.289,103.817,103.552,102.604,100.9
OECD Env-Growth,SSP1_v9_130325,MLI,GDP|PPP,billion US$2005/yr,8.572,11.655,14.86,16.475,22.285,32.523,49.073,74.918,112.9,166.185,237.928,330.607,445.294,581.211,735.117,903.637,1084.881,1275.517,1471.185,1667.84,1859.952
OECD Env-Growth,SSP1_v9_130325,MLT,GDP|PPP,billion US$2005/yr,8.12,8.488,9.442,10.435,11.745,13.398,15.366,17.569,19.653,21.437,22.878,24.037,25.029,25.919,26.674,27.158,27.371,27.347,27.14,26.804,26.347
OECD Env-Growth,SSP1_v9_130325,MMR,GDP|PPP,billion US$2005/yr,25.986,47.593,69.159,91.511,122.894,163.143,214.431,277.17,347.942,424.13,501.736,578.374,652.3,721.62,785.49,841.648,892.353,937.363,977.624,1013.622,1044.437
OECD Env-Growth,SSP1_v9_130325,MNE,GDP|PPP,billion US$2005/yr,0,5.163,6.414,7.033,7.945,9.171,10.693,12.426,14.199,15.854,17.34,18.756,20.135,21.318,22.228,22.852,23.255,23.443,23.455,23.315,22.956
OECD Env-Growth,SSP1_v9_130325,MNG,GDP|PPP,billion US$2005/yr,5.325,7.29,9.977,17.665,28.246,42.016,60.209,82.224,105.504,127.824,147.597,164.694,180.4,194.795,206.864,214.884,220.515,224.568,227.832,230.445,231.603
OECD Env-Growth,SSP1_v9_130325,MOZ,GDP|PPP,billion US$2005/yr,9.113,13.906,19.244,27.351,39.304,57.507,85.732,128.69,191.293,279.991,400.98,558.977,756.764,993.203,1264.151,1564.387,1890.628,2233.933,2584.164,2932.373,3268.621
OECD Env-Growth,SSP1_v9_130325,MRT,GDP|PPP,billion US$2005/yr,4.68,5.868,7.624,9.936,13.068,17.188,22.937,30.696,40.495,52.6,67.055,83.667,102.208,122.161,142.729,163.305,183.88,204.052,223.579,242.067,258.939
OECD Env-Growth,SSP1_v9_130325,MUS,GDP|PPP,billion US$2005/yr,10.864,12.628,15.734,19.023,23.714,29.477,36.154,43.523,51.137,58.724,66.158,72.951,79.073,84.512,89.116,93.185,96.822,99.783,102.063,103.718,104.725
OECD Env-Growth,SSP1_v9_130325,MWI,GDP|PPP,billion US$2005/yr,7.492,8.268,11.854,15.061,20.813,30.64,46.974,73.415,113.895,173.505,258.178,373.542,524.57,714.377,943.954,1210.434,1511.658,1842.318,2195.716,2563.879,2936.041
OECD Env-Growth,SSP1_v9_130325,MYS,GDP|PPP,billion US$2005/yr,239.035,301.308,375.288,473.023,595.358,750.517,941.212,1163.756,1398.235,1627.447,1853.727,2083.322,2310.051,2522.875,2715.663,2890.387,3047.033,3184.059,3297.971,3385.784,3443.994
OECD Env-Growth,SSP1_v9_130325,NAM,GDP|PPP,billion US$2005/yr,8.511,10.827,13.403,16.166,20.028,25.491,32.724,41.408,51.233,61.94,73.161,84.541,95.782,106.583,116.627,125.78,134.27,141.795,148.356,153.95,158.463
OECD Env-Growth,SSP1_v9_130325,NCL,GDP|PPP,billion US$2005/yr,3.06,3.609,4.25,5.32,6.461,7.81,9.394,11.151,12.981,14.804,16.523,18.134,19.607,20.939,22.087,23.032,23.843,24.513,25.058,25.488,25.776
OECD Env-Growth,SSP1_v9_130325,NER,GDP|PPP,billion US$2005/yr,6.521,7.924,10.085,14.142,18.914,27.191,41.082,63.837,99.438,153.127,231.559,341.796,490.506,683.201,923.13,1210.691,1545.643,1924.052,2339.171,2782.893,3242.969
